label           	timestamp          	 side	        slope	    slope.var	    intercept	intercept.var	           x0	       x0.var	 NP	           r2	       sumres	        nfHFD	       maxHFD
default         	2015-03-05T20:09:18	 left	-2.687369e-02	+3.297654e-07	+8.083519e+00	+6.801742e-03	+3.007968e+02	+5.073211e+01	 10	+9.963604e-01	+5.441130e-01	+2.761455e+00	+1.223954e+01
default         	2015-03-05T20:09:18	right	+2.204504e-02	+8.982234e-07	-4.454123e+00	+2.912274e-01	+2.020465e+02	+6.747040e+02	 10	+9.854294e-01	+1.482069e+00	+2.761455e+00	+1.223954e+01
ejemplo         	2007-01-04T19:26:33	 left	-3.440952e-02	+3.079416e-07	+1.724988e+00	+6.479091e-02	+5.013113e+01	+5.537497e+01	 15	+9.966303e-01	+1.008817e+00	+9.000000e+00	+1.875824e+01
ejemplo         	2007-01-04T19:26:33	right	+3.636093e-02	+6.433471e-07	-6.199212e-02	+1.067956e-01	+1.704910e+00	+8.077762e+01	  9	+9.966053e-01	+2.431852e-01	+9.000000e+00	+1.875824e+01
ejemplo         	2007-01-04T19:26:33	 left	-3.425117e-02	+4.368639e-07	+1.502769e+00	+8.419153e-02	+4.387497e+01	+7.248266e+01	 28	+9.904108e-01	+4.654152e+00	+9.000000e+00	+1.780005e+01
ejemplo         	2007-01-04T19:26:33	right	+3.657325e-02	+3.445938e-06	-5.045118e-01	+5.142332e-01	+1.379456e+01	+3.849343e+02	 15	+9.675946e-01	+2.835770e+00	+9.000000e+00	+1.780005e+01
ejemplo         	2007-01-04T22:38:27	 left	-3.465770e-02	+8.406012e-07	+4.239069e-01	+1.407727e-01	+1.223125e+01	+1.173024e+02	 15	+9.909843e-01	+1.223915e+00	+9.000000e+00	+1.960925e+01
ejemplo         	2007-01-04T22:38:27	right	+3.694117e-02	+6.875484e-07	+5.642426e-01	+1.229795e-01	-1.527408e+01	+9.023550e+01	 18	+9.920032e-01	+2.131950e+00	+9.000000e+00	+1.960925e+01
ejemplo         	2007-01-04T22:57:03	 left	-3.335731e-02	+7.439433e-07	+9.968639e-01	+1.330667e-01	+2.988442e+01	+1.201850e+02	 18	+9.894158e-01	+2.306819e+00	+9.000000e+00	+2.032452e+01
ejemplo         	2007-01-04T22:57:03	right	+3.524137e-02	+9.831782e-07	+1.678337e+00	+1.691066e-01	-4.762407e+01	+1.379572e+02	 19	+9.867209e-01	+3.810799e+00	+9.000000e+00	+2.032452e+01
ejemplo         	2007-01-04T23:05:56	 left	-3.450197e-02	+2.737615e-07	+7.264972e-01	+1.016339e-01	+2.105669e+01	+8.548098e+01	 14	+9.972479e-01	+1.868422e+00	+9.000000e+00	+3.134416e+01
ejemplo         	2007-01-04T23:05:56	right	+3.628064e-02	+1.773662e-07	+7.165672e-01	+5.986109e-02	-1.975068e+01	+4.552987e+01	 13	+9.985200e-01	+8.877178e-01	+9.000000e+00	+3.134416e+01
ejemplo         	2007-01-05T19:26:40	 left	-3.250358e-02	+6.074227e-07	+1.828220e+00	+8.225515e-02	+5.624673e+01	+7.967651e+01	 12	+9.942834e-01	+2.171536e+00	+4.222027e+00	+2.082414e+01
ejemplo         	2007-01-05T19:26:40	right	+3.507622e-02	+2.109294e-07	+1.155696e-03	+4.666813e-02	-3.294814e-02	+3.793106e+01	 14	+9.979469e-01	+1.439593e+00	+4.222027e+00	+2.082414e+01
ejemplo         	2007-01-05T19:32:49	 left	-3.344423e-02	+5.032567e-07	+1.019963e+00	+7.423036e-02	+3.049743e+01	+6.678349e+01	 11	+9.959669e-01	+1.245560e+00	+4.535740e+00	+2.047375e+01
